original,normalized,cid,PC_Compounds[0].id.id.cid,PC_Compounds[0].atoms.aid[0],PC_Compounds[0].atoms.aid[1],PC_Compounds[0].atoms.aid[2],PC_Compounds[0].atoms.aid[3],PC_Compounds[0].atoms.aid[4],PC_Compounds[0].atoms.element[0],PC_Compounds[0].atoms.element[1],PC_Compounds[0].atoms.element[2],PC_Compounds[0].atoms.element[3],PC_Compounds[0].atoms.element[4],PC_Compounds[0].atoms.charge[0].aid,PC_Compounds[0].atoms.charge[0].value,PC_Compounds[0].atoms.charge[1].aid,PC_Compounds[0].atoms.charge[1].value,PC_Compounds[0].atoms.charge[2].aid,PC_Compounds[0].atoms.charge[2].value,PC_Compounds[0].atoms.charge[3].aid,PC_Compounds[0].atoms.charge[3].value,PC_Compounds[0].bonds.aid1[0],PC_Compounds[0].bonds.aid1[1],PC_Compounds[0].bonds.aid1[2],PC_Compounds[0].bonds.aid2[0],PC_Compounds[0].bonds.aid2[1],PC_Compounds[0].bonds.aid2[2],PC_Compounds[0].bonds.order[0],PC_Compounds[0].bonds.order[1],PC_Compounds[0].bonds.order[2],PC_Compounds[0].coords[0].type[0],PC_Compounds[0].coords[0].type[1],PC_Compounds[0].coords[0].type[2],PC_Compounds[0].coords[0].aid[0],PC_Compounds[0].coords[0].aid[1],PC_Compounds[0].coords[0].aid[2],PC_Compounds[0].coords[0].aid[3],PC_Compounds[0].coords[0].aid[4],PC_Compounds[0].coords[0].conformers[0].x[0],PC_Compounds[0].coords[0].conformers[0].x[1],PC_Compounds[0].coords[0].conformers[0].x[2],PC_Compounds[0].coords[0].conformers[0].x[3],PC_Compounds[0].coords[0].conformers[0].x[4],PC_Compounds[0].coords[0].conformers[0].y[0],PC_Compounds[0].coords[0].conformers[0].y[1],PC_Compounds[0].coords[0].conformers[0].y[2],PC_Compounds[0].coords[0].conformers[0].y[3],PC_Compounds[0].coords[0].conformers[0].y[4],PC_Compounds[0].charge,PC_Compounds[0].props[0].urn.datatype,PC_Compounds[0].props[0].value.ival,PC_Compounds[0].props[1].urn.datatype,PC_Compounds[0].props[1].value.fval,PC_Compounds[0].props[2].urn.datatype,PC_Compounds[0].props[2].value.ival,PC_Compounds[0].props[3].urn.datatype,PC_Compounds[0].props[3].value.ival,PC_Compounds[0].props[4].urn.datatype,PC_Compounds[0].props[4].value.ival,PC_Compounds[0].props[5].urn.datatype,PC_Compounds[0].props[5].value.binary,PC_Compounds[0].props[6].urn.datatype,PC_Compounds[0].props[7].urn.datatype,PC_Compounds[0].props[8].urn.datatype,PC_Compounds[0].props[9].urn.datatype,PC_Compounds[0].props[10].urn.datatype,PC_Compounds[0].props[11].urn.datatype,PC_Compounds[0].props[12].urn.datatype,PC_Compounds[0].props[13].urn.datatype,PC_Compounds[0].props[14].urn.datatype,PC_Compounds[0].props[14].urn.version,PC_Compounds[0].props[14].value.sval,PC_Compounds[0].props[15].urn.datatype,PC_Compounds[0].props[15].urn.version,PC_Compounds[0].props[16].urn.datatype,PC_Compounds[0].props[16].urn.version,PC_Compounds[0].props[16].value.sval,PC_Compounds[0].props[17].urn.datatype,PC_Compounds[0].props[18].urn.datatype,PC_Compounds[0].props[19].urn.datatype,PC_Compounds[0].props[19].value.fval,PC_Compounds[0].props[20].urn.datatype,PC_Compounds[0].props[20].urn.version,PC_Compounds[0].props[20].value.sval,PC_Compounds[0].count.heavy_atom,PC_Compounds[0].count.atom_chiral,PC_Compounds[0].count.atom_chiral_def,PC_Compounds[0].count.atom_chiral_undef,PC_Compounds[0].count.bond_chiral,PC_Compounds[0].count.bond_chiral_def,PC_Compounds[0].count.bond_chiral_undef,PC_Compounds[0].count.isotope_atom,PC_Compounds[0].count.covalent_unit,PC_Compounds[0].count.tautomers,PC_Compounds[0].atoms.aid[5],PC_Compounds[0].atoms.aid[6],PC_Compounds[0].atoms.aid[7],PC_Compounds[0].atoms.aid[8],PC_Compounds[0].atoms.aid[9],PC_Compounds[0].atoms.aid[10],PC_Compounds[0].atoms.aid[11],PC_Compounds[0].atoms.aid[12],PC_Compounds[0].atoms.aid[13],PC_Compounds[0].atoms.aid[14],PC_Compounds[0].atoms.aid[15],PC_Compounds[0].atoms.aid[16],PC_Compounds[0].atoms.element[5],PC_Compounds[0].atoms.element[6],PC_Compounds[0].atoms.element[7],PC_Compounds[0].atoms.element[8],PC_Compounds[0].atoms.element[9],PC_Compounds[0].atoms.element[10],PC_Compounds[0].atoms.element[11],PC_Compounds[0].atoms.element[12],PC_Compounds[0].atoms.element[13],PC_Compounds[0].atoms.element[14],PC_Compounds[0].atoms.element[15],PC_Compounds[0].atoms.element[16],PC_Compounds[0].atoms.charge[4].aid,PC_Compounds[0].atoms.charge[4].value,PC_Compounds[0].atoms.charge[5].aid,PC_Compounds[0].atoms.charge[5].value,PC_Compounds[0].atoms.charge[6].aid,PC_Compounds[0].atoms.charge[6].value,PC_Compounds[0].atoms.charge[7].aid,PC_Compounds[0].atoms.charge[7].value,PC_Compounds[0].bonds.aid1[3],PC_Compounds[0].bonds.aid1[4],PC_Compounds[0].bonds.aid1[5],PC_Compounds[0].bonds.aid1[6],PC_Compounds[0].bonds.aid1[7],PC_Compounds[0].bonds.aid1[8],PC_Compounds[0].bonds.aid1[9],PC_Compounds[0].bonds.aid1[10],PC_Compounds[0].bonds.aid1[11],PC_Compounds[0].bonds.aid2[3],PC_Compounds[0].bonds.aid2[4],PC_Compounds[0].bonds.aid2[5],PC_Compounds[0].bonds.aid2[6],PC_Compounds[0].bonds.aid2[7],PC_Compounds[0].bonds.aid2[8],PC_Compounds[0].bonds.aid2[9],PC_Compounds[0].bonds.aid2[10],PC_Compounds[0].bonds.aid2[11],PC_Compounds[0].bonds.order[3],PC_Compounds[0].bonds.order[4],PC_Compounds[0].bonds.order[5],PC_Compounds[0].bonds.order[6],PC_Compounds[0].bonds.order[7],PC_Compounds[0].bonds.order[8],PC_Compounds[0].bonds.order[9],PC_Compounds[0].bonds.order[10],PC_Compounds[0].bonds.order[11],PC_Compounds[0].coords[0].aid[5],PC_Compounds[0].coords[0].aid[6],PC_Compounds[0].coords[0].aid[7],PC_Compounds[0].coords[0].aid[8],PC_Compounds[0].coords[0].aid[9],PC_Compounds[0].coords[0].aid[10],PC_Compounds[0].coords[0].aid[11],PC_Compounds[0].coords[0].aid[12],PC_Compounds[0].coords[0].aid[13],PC_Compounds[0].coords[0].aid[14],PC_Compounds[0].coords[0].aid[15],PC_Compounds[0].coords[0].aid[16],PC_Compounds[0].coords[0].conformers[0].x[5],PC_Compounds[0].coords[0].conformers[0].x[6],PC_Compounds[0].coords[0].conformers[0].x[7],PC_Compounds[0].coords[0].conformers[0].x[8],PC_Compounds[0].coords[0].conformers[0].x[9],PC_Compounds[0].coords[0].conformers[0].x[10],PC_Compounds[0].coords[0].conformers[0].x[11],PC_Compounds[0].coords[0].conformers[0].x[12],PC_Compounds[0].coords[0].conformers[0].x[13],PC_Compounds[0].coords[0].conformers[0].x[14],PC_Compounds[0].coords[0].conformers[0].x[15],PC_Compounds[0].coords[0].conformers[0].x[16],PC_Compounds[0].coords[0].conformers[0].y[5],PC_Compounds[0].coords[0].conformers[0].y[6],PC_Compounds[0].coords[0].conformers[0].y[7],PC_Compounds[0].coords[0].conformers[0].y[8],PC_Compounds[0].coords[0].conformers[0].y[9],PC_Compounds[0].coords[0].conformers[0].y[10],PC_Compounds[0].coords[0].conformers[0].y[11],PC_Compounds[0].coords[0].conformers[0].y[12],PC_Compounds[0].coords[0].conformers[0].y[13],PC_Compounds[0].coords[0].conformers[0].y[14],PC_Compounds[0].coords[0].conformers[0].y[15],PC_Compounds[0].coords[0].conformers[0].y[16],PC_Compounds[0].props[14].value.fval,PC_Compounds[0].props[15].value.sval,PC_Compounds[0].props[17].urn.version,PC_Compounds[0].props[17].value.sval,PC_Compounds[0].props[20].value.fval,PC_Compounds[0].props[21].urn.datatype,PC_Compounds[0].props[21].urn.version,PC_Compounds[0].props[21].value.sval,PC_Compounds[0].atoms.charge[8].aid,PC_Compounds[0].atoms.charge[8].value,PC_Compounds[0].atoms.charge[9].aid,PC_Compounds[0].atoms.charge[9].value
- Ac[+3],Ac3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Ag(CN)2[-1],Ag(CN)21-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- AgNO3(aq),AgNO3,24470.0,24470.0,1.0,2.0,3.0,4.0,5.0,47.0,8.0,8.0,8.0,7.0,1.0,1.0,2.0,-1.0,3.0,-1.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,255.0,1.0,2.0,3.0,4.0,5.0,4.5981,2.0,3.7321,2.866,2.866,0.25,0.75,0.75,-0.75,0.25,0.0,5.0,1.0,7.0,18.8,5.0,3.0,5.0,0.0,5.0,0.0,16.0,3.7100023e+224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,168.89291,1.0,2.2,1.0,2.2,169.873,1.0,1.0,7.0,62.9,1.0,2.2,168.89291,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Ag[+1],Ag1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Ag[+2],Ag2+,23954.0,23954.0,1.0,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,255.0,1.0,,,,,2.0,,,,,0.0,,,,,0.0,5.0,1.0,7.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,16.0,3.71e+224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,106.90509,1.0,2.2,1.0,2.2,107.868,1.0,1.0,7.0,0.0,1.0,2.2,106.90509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Ag[+3],Ag3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Al2(SO4)3(aq),Al2(SO4)3,24850.0,24850.0,1.0,2.0,3.0,4.0,5.0,16.0,16.0,16.0,13.0,13.0,4.0,3.0,5.0,3.0,6.0,-1.0,7.0,-1.0,1.0,1.0,1.0,6.0,7.0,12.0,1.0,1.0,2.0,1.0,5.0,255.0,1.0,2.0,3.0,4.0,5.0,3.0,5.673,8.3461,4.0,7.3461,-1.4483,0.0,1.4483,-0.4483,0.4483,0.0,5.0,1.0,7.0,62.2,5.0,12.0,5.0,0.0,5.0,0.0,16.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,341.818266,1.0,2.2,1.0,2.2,342.2,1.0,1.0,7.0,266.0,1.0,2.2,341.818266,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,-1.0,9.0,-1.0,10.0,-1.0,11.0,-1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,13.0,8.0,9.0,14.0,15.0,10.0,11.0,16.0,17.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,3.0,4.0,4.7071,6.639,7.3461,8.3461,2.0,3.0,5.4142,5.9319,9.3461,8.3461,-0.4483,-1.4483,0.2588,-0.2588,1.4483,0.4483,-1.4483,-2.4483,-0.9659,0.9659,1.4483,2.4483,,,,,,,,,,,,
- Al[+3],Al3+,104727.0,104727.0,1.0,,,,,13.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,1.0,5.0,255.0,1.0,,,,,2.0,,,,,0.0,,,,,3.0,5.0,1.0,7.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,16.0,3.710000000000001e+224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,26.9815384,1.0,2.2,1.0,2.2,26.981538,1.0,1.0,7.0,0.0,1.0,2.2,26.9815384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- AsO4[-3],AsO43-,233.0,233.0,1.0,2.0,3.0,4.0,5.0,33.0,8.0,8.0,8.0,8.0,3.0,-1.0,4.0,-1.0,,,,,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,255.0,1.0,2.0,3.0,4.0,5.0,2.866,3.732,2.0,2.366,3.366,0.0,0.5,-0.5,0.866,-0.866,-2.0,5.0,1.0,7.0,46.5,5.0,4.0,5.0,1.0,5.0,0.0,16.0,3.71000038e+224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,139.909078,1.0,2.2,1.0,2.2,139.927,1.0,1.0,7.0,83.4,1.0,2.2,139.909078,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,5.0,6.0,,,,,,,,2.0,1.0,,,,,,,,6.0,,,,,,,,,,,,4.269,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,
- Au(CN)2[-1],Au(CN)21-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Au(CN)4[-1],Au(CN)41-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
